ID;Autor;Buch;Jahr
B1;J.R.R. Tolkien;The Hobbit;1937
B2;J.R.R. Tolkien;The Hobbit;1946
B3;J.R.R. Tolkien;The Fellowship of the Ring;1968
B4;J.R.R. Tolkien;The Fellowship of the Ring;1969
B5;J.R.R. Tolkien;The Fellowship of the Ring;1958
B6;J.R.R. Tolkien;The Fellowship of the Ring;1968
B7;J.R.R. Tolkien;The Fellowship of the Ring;1970
B8;J.R.R. Tolkien;The Two Towers;1968
B9;J.R.R. Tolkien;The Two Towers;1956
B10;J.R.R. Tolkien;The Two Towers;1974
B11;J.R.R. Tolkien;The Two Towers;1963
B12;J.R.R. Tolkien;The Return of the King;1963
B13;J.R.R. Tolkien;The Return of the King;1956
B14;J.R.R. Tolkien;The Return of the King;1972
B15;Agatha Christie;Murder on the Orient Express;1943
B16;Agatha Christie;Murder on the Orient Express;1937
B17;Agatha Christie;Death on the Nile;1949
B18;Agatha Christie;Death on the Nile;1954
B19;Agatha Christie;Death on the Nile;1949
B20;Agatha Christie;The Murder of Roger Ackroyd;1945
B21;Agatha Christie;The Murder of Roger Ackroyd;1926
B22;Agatha Christie;The Murder of Roger Ackroyd;1945
B23;Leo Tolstoy;War and Peace;1883
B24;Leo Tolstoy;War and Peace;1871
B25;Leo Tolstoy;War and Peace;1878
B26;Leo Tolstoy;Anna Karenina;1882
B27;Leo Tolstoy;Anna Karenina;1894
B28;Stephen King;The Shining;1993
B29;Stephen King;The Shining;1997
B30;Stephen King;It;1987
B31;Stephen King;It;1995
B32;Stephen King;It;2003
B33;Stephen King;Misery;1991
B34;Stephen King;Misery;2004
B35;Stephen King;Misery;1987
B36;Stephen King;Misery;1993
B37;Stephen King;Misery;1987
B38;Stephen King;The Dark Tower;1988
B39;Stephen King;The Dark Tower;2001
B40;Stephen King;The Dark Tower;1986
B41;Stephen King;The Dark Tower;1991
B42;Stephen King;The Dark Tower;1993
B43;Isaac Asimov;Foundation;1964
B44;Isaac Asimov;Foundation;1971
B45;Isaac Asimov;Foundation;1952
B46;Isaac Asimov;Foundation;1968
B47;Isaac Asimov;I, Robot;1953
B48;Isaac Asimov;I, Robot;1956
B49;Isaac Asimov;I, Robot;1956
B50;Isaac Asimov;I, Robot;1968
B51;Isaac Asimov;I, Robot;1967
B52;Isaac Asimov;The End of Eternity;1968
B53;Isaac Asimov;The End of Eternity;1965
B54;Jane Austen;Pride and Prejudice;1824
B55;Jane Austen;Pride and Prejudice;1828
B56;Jane Austen;Emma;1820
B57;Jane Austen;Emma;1830
B58;Jane Austen;Emma;1816
B59;Jane Austen;Emma;1829
B60;Jane Austen;Emma;1828
B61;Jane Austen;Sense and Sensibility;1813
B62;Jane Austen;Sense and Sensibility;1814
B63;George Orwell;1984;1963
B64;George Orwell;1984;1965
B65;George Orwell;Animal Farm;1964
B66;George Orwell;Animal Farm;1963
B67;George Orwell;Animal Farm;1958
B68;George Orwell;Animal Farm;1956
B69;George Orwell;Animal Farm;1951
B70;Charles Dickens;A Tale of Two Cities;1874
B71;Charles Dickens;A Tale of Two Cities;1866
B72;Charles Dickens;A Tale of Two Cities;1863
B73;Charles Dickens;A Tale of Two Cities;1868
B74;Charles Dickens;Great Expectations;1873
B75;Charles Dickens;Great Expectations;1862
B76;Charles Dickens;Great Expectations;1880
B77;Charles Dickens;Oliver Twist;1848
B78;Charles Dickens;Oliver Twist;1841
B79;Mark Twain;The Adventures of Tom Sawyer;1894
B80;Mark Twain;The Adventures of Tom Sawyer;1879
B81;Mark Twain;The Adventures of Tom Sawyer;1887
B82;Mark Twain;Adventures of Huckleberry Finn;1895
B83;Mark Twain;Adventures of Huckleberry Finn;1889
B84;Virginia Woolf;Mrs Dalloway;1939
B85;Virginia Woolf;Mrs Dalloway;1925
B86;Virginia Woolf;Mrs Dalloway;1926
B87;Virginia Woolf;Mrs Dalloway;1944
B88;Virginia Woolf;To the Lighthouse;1946
B89;Virginia Woolf;To the Lighthouse;1934
B90;Virginia Woolf;To the Lighthouse;1933
B91;Virginia Woolf;To the Lighthouse;1936
B92;Virginia Woolf;To the Lighthouse;1943
B93;Virginia Woolf;Orlando;1938
B94;Virginia Woolf;Orlando;1933
B95;Virginia Woolf;Orlando;1947
B96;J.R.R. Tolkien;The Hobbit;1951
B97;J.R.R. Tolkien;The Hobbit;1939
B98;J.R.R. Tolkien;The Hobbit;1945
B99;J.R.R. Tolkien;The Hobbit;1953
B100;J.R.R. Tolkien;The Fellowship of the Ring;1960
B101;J.R.R. Tolkien;The Fellowship of the Ring;1967
B102;J.R.R. Tolkien;The Fellowship of the Ring;1971
B103;J.R.R. Tolkien;The Fellowship of the Ring;1956
B104;J.R.R. Tolkien;The Fellowship of the Ring;1971
B105;J.R.R. Tolkien;The Two Towers;1962
B106;J.R.R. Tolkien;The Two Towers;1967
B107;J.R.R. Tolkien;The Return of the King;1973
B108;J.R.R. Tolkien;The Return of the King;1973
B109;J.R.R. Tolkien;The Return of the King;1968
B110;Agatha Christie;Murder on the Orient Express;1945
B111;Agatha Christie;Murder on the Orient Express;1953
B112;Agatha Christie;Murder on the Orient Express;1934
B113;Agatha Christie;Murder on the Orient Express;1946
B114;Agatha Christie;Murder on the Orient Express;1954
B115;Agatha Christie;Death on the Nile;1940
B116;Agatha Christie;Death on the Nile;1957
B117;Agatha Christie;Death on the Nile;1957
B118;Agatha Christie;The Murder of Roger Ackroyd;1944
B119;Agatha Christie;The Murder of Roger Ackroyd;1946
B120;Agatha Christie;The Murder of Roger Ackroyd;1943
B121;Leo Tolstoy;War and Peace;1870
B122;Leo Tolstoy;War and Peace;1874
B123;Leo Tolstoy;War and Peace;1887
B124;Leo Tolstoy;Anna Karenina;1888
B125;Leo Tolstoy;Anna Karenina;1896
B126;Leo Tolstoy;Anna Karenina;1897
B127;Leo Tolstoy;Anna Karenina;1894
B128;Stephen King;The Shining;1996
B129;Stephen King;The Shining;1996
B130;Stephen King;It;1996
B131;Stephen King;It;1997
B132;Stephen King;It;1999
B133;Stephen King;It;1990
B134;Stephen King;It;1993
B135;Stephen King;Misery;1998
B136;Stephen King;Misery;2005
B137;Stephen King;Misery;2002
B138;Stephen King;Misery;1988
B139;Stephen King;Misery;2004
B140;Stephen King;The Dark Tower;1994
B141;Stephen King;The Dark Tower;1992
B142;Stephen King;The Dark Tower;1985
B143;Stephen King;The Dark Tower;1991
B144;Stephen King;The Dark Tower;2002
B145;Isaac Asimov;Foundation;1965
B146;Isaac Asimov;Foundation;1955
B147;Isaac Asimov;Foundation;1963
B148;Isaac Asimov;Foundation;1963
B149;Isaac Asimov;Foundation;1953
B150;Isaac Asimov;I, Robot;1970
B151;Isaac Asimov;I, Robot;1954
B152;Isaac Asimov;I, Robot;1966
B153;Isaac Asimov;I, Robot;1960
B154;Isaac Asimov;The End of Eternity;1956
B155;Isaac Asimov;The End of Eternity;1966
B156;Isaac Asimov;The End of Eternity;1958
B157;Isaac Asimov;The End of Eternity;1973
B158;Jane Austen;Pride and Prejudice;1815
B159;Jane Austen;Pride and Prejudice;1814
B160;Jane Austen;Pride and Prejudice;1822
B161;Jane Austen;Emma;1831
B162;Jane Austen;Emma;1821
B163;Jane Austen;Emma;1831
B164;Jane Austen;Emma;1815
B165;Jane Austen;Sense and Sensibility;1814
B166;Jane Austen;Sense and Sensibility;1830
